"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.572462833E0,3.276070677E-1,-3.904300643E-1,2.981717455E-1,5.904815117E-1
6.582496833E0,1.401505817E0,-5.683081385E-1,4.463553929E-1,1.576840459E0
6.592531833E0,3.610465923E0,-8.645929145E-1,6.252725905E-1,3.764830793E0
6.602565833E0,7.528595377E0,-8.781923687E-1,1.048205207E0,7.651777855E0
6.612600833E0,1.368474867E1,-1.024735141E0,2.080874362E0,1.387993034E1
6.622634833E0,2.089577358E1,-1.338998643E0,3.434190205E0,2.121838668E1
6.632669833E0,2.739912167E1,-1.571567114E0,3.884706477E0,2.771773144E1
6.642704833E0,3.262729962E1,-1.682554869E0,4.630549824E0,3.299717659E1
6.652738833E0,3.532926289E1,-9.374528030E-1,5.172127708E0,3.571815419E1
6.662773833E0,3.443733095E1,1.480485036E-1,5.247449201E0,3.483514611E1
6.672807833E0,3.043669641E1,-7.926580556E-2,4.178652440E0,3.072230310E1
6.682842833E0,2.377323284E1,-5.396429678E-1,2.430008100E0,2.390319547E1
6.692876833E0,1.363298678E1,-2.622735252E0,-1.035080547E0,1.392151071E1
6.702911833E0,-1.890967907E0,-6.287367150E0,-5.513586976E0,8.573586568E0
6.712946833E0,-2.246650878E1,-9.579757113E0,-8.870562360E0,2.598466162E1
6.722980833E0,-4.155937995E1,-1.162023131E1,-1.132686831E1,4.461512953E1
6.733015833E0,-5.240006164E1,-1.280115954E1,-1.324470827E1,5.554330241E1
6.743049833E0,-5.486862978E1,-1.387061294E1,-1.395439419E1,5.828966937E1
6.753084833E0,-5.247726827E1,-1.457115265E1,-1.255815393E1,5.589176509E1
6.763118833E0,-4.729984416E1,-1.481728067E1,-1.014144123E1,5.059323960E1
6.773153833E0,-3.878679167E1,-1.482374769E1,-7.754131256E0,4.224080083E1
6.783188833E0,-2.832876815E1,-1.307416370E1,-5.748832741E0,3.172541472E1
6.793222833E0,-1.889255609E1,-1.055305247E1,-4.193545883E0,2.204271805E1
6.803257833E0,-1.159662142E1,-7.821676537E0,-2.693981236E0,1.424492145E1
6.813291833E0,-5.255667463E0,-5.595562600E0,-1.466431400E0,7.815547476E0
6.823326833E0,6.771096191E-1,-3.983658907E0,-6.967922240E-1,4.100431091E0
6.833360833E0,5.619836732E0,-2.620429110E0,-1.346876889E-1,6.202205606E0
6.843395833E0,9.333853628E0,-1.400616310E0,2.527137369E-1,9.441737861E0
6.853430833E0,1.170308285E1,-8.376280410E-1,2.998633450E-1,1.173685166E1
6.863464833E0,1.312627175E1,-4.363014711E-1,7.272310746E-1,1.315363957E1
6.873499833E0,1.381332426E1,-1.190943342E-1,1.056631045E0,1.385418997E1
6.883533833E0,1.436352153E1,-1.486168530E-1,1.212759304E0,1.441539534E1
6.893568833E0,1.474670243E1,8.335067041E-2,1.831079555E0,1.486018278E1
6.903603833E0,1.454961618E1,1.952047630E-1,2.353893140E0,1.474008985E1
6.913637833E0,1.359513541E1,6.108295293E-1,2.175975232E0,1.378171570E1
6.923672833E0,1.208999661E1,9.244105884E-1,1.435670367E0,1.220998372E1
6.933706833E0,1.005704135E1,1.233685612E0,7.533464938E-1,1.016039329E1
6.943741833E0,7.909689996E0,1.483535967E0,9.290933311E-2,8.048149287E0
6.953775833E0,5.848445907E0,1.545891552E0,-3.295894200E-1,6.058277758E0
6.963810833E0,4.110511912E0,1.172294598E0,-5.113033408E-1,4.304882566E0
6.973845833E0,2.973211511E0,6.353876158E-1,-2.710120136E-1,3.052400960E0
6.983879833E0,2.353915067E0,2.884060914E-1,1.632302874E-1,2.377128171E0
6.993914833E0,2.200234891E0,5.963582553E-2,3.627138966E-1,2.230728889E0
7.003948833E0,2.557576219E0,-3.274565019E-2,3.631120920E-1,2.583431591E0
7.013983833E0,2.746598867E0,-1.851710871E-2,4.390586525E-1,2.781532082E0
7.024017833E0,2.141059168E0,-1.105208543E-1,5.891239339E-1,2.223379461E0
7.034052833E0,1.214677556E0,-2.373237922E-1,6.680841494E-1,1.406449636E0
7.044087833E0,4.068676838E-1,-2.922056852E-1,6.461968517E-1,8.176159525E-1
7.054121833E0,-2.902633498E-1,-2.885985379E-1,3.476543927E-1,5.370339888E-1
7.064156833E0,-8.952221650E-1,-2.164305943E-1,1.879669333E-1,9.399981356E-1
7.074190833E0,-8.546585682E-1,-2.422951680E-1,2.694396973E-3,8.883442331E-1
7.084225833E0,-7.759797500E-1,-2.425841667E-1,-2.454485714E-2,8.133843497E-1
7.094259833E0,-6.325542744E-1,-3.447402135E-1,9.906118870E-2,7.271752498E-1
7.104294833E0,-4.283463342E-1,-4.273926533E-1,1.534414637E-1,6.242510271E-1
7.114329833E0,-4.622045633E-1,-4.536487712E-1,2.118832147E-1,6.814137969E-1
7.124363833E0,-5.352639880E-1,-3.982222831E-1,1.802468544E-1,6.910697882E-1
7.134398833E0,-5.088919125E-1,-2.802472521E-1,1.252491134E-1,5.943036609E-1
7.144432833E0,-3.903925690E-1,-1.551899274E-1,1.089915150E-1,4.340154627E-1
7.154467833E0,-1.712619315E-1,-2.423634343E-2,8.484836161E-2,1.926584906E-1
7.164502833E0,3.047013313E-2,3.195196375E-2,9.866591692E-3,4.524054191E-2
7.174536833E0,3.685828932E-2,4.686682217E-2,-6.233365774E-2,8.625843378E-2
7.184571833E0,3.482864310E-2,-8.770019487E-3,-1.721051913E-1,1.758128110E-1
7.194605833E0,4.136077328E-2,1.832590476E-2,-3.461212528E-1,3.490651429E-1
7.204640833E0,6.653739466E-2,1.217312092E-1,-4.680491477E-1,4.881759077E-1
7.214674833E0,1.146971367E-1,1.844330954E-1,-5.145140469E-1,5.584762343E-1
7.224709833E0,1.813082885E-1,1.772798310E-1,-5.829644769E-1,6.357266829E-1
7.234744833E0,1.817140853E-1,1.297570974E-1,-6.366401625E-1,6.746611072E-1
7.244778833E0,3.231140672E-1,8.563130379E-2,-5.416363567E-1,6.364788791E-1
7.254813833E0,6.354132704E-1,5.059412979E-2,-4.450117028E-1,7.773964277E-1
7.264847833E0,9.030355069E-1,1.863244504E-2,-4.217497247E-1,9.968415747E-1
7.274882833E0,1.279694428E0,-8.918626472E-2,-1.376680148E-1,1.290164525E0
7.284916833E0,1.924372027E0,-2.691295025E-1,1.847632438E-1,1.951864709E0
7.294951833E0,3.312849663E0,-6.721788814E-1,5.490009248E-1,3.424645873E0
7.304986833E0,5.988629978E0,-1.130401856E0,1.337488600E0,6.239420897E0
7.315020833E0,1.040072666E1,-1.285166691E0,2.326283172E0,1.073491322E1
7.325055833E0,1.635574976E1,-2.066524710E0,4.607168562E0,1.711744948E1
7.335089833E0,2.279428966E1,-4.549496890E0,7.606912399E0,2.445695564E1
7.345124708E0,2.855466012E1,-7.347681940E0,9.921889980E0,3.110949928E1
7.355159708E0,3.337568709E1,-9.161891693E0,1.150421904E1,3.647223333E1
7.365193708E0,3.551101306E1,-9.374312267E0,1.214117495E1,3.868226866E1
7.375228708E0,3.394888496E1,-7.818330760E0,1.100093048E1,3.653318433E1
7.385262708E0,2.980578652E1,-5.824694517E0,7.045018948E0,3.117602072E1
7.395297708E0,2.450442482E1,-3.524713874E0,5.196900022E-1,2.476207829E1
7.405331708E0,1.584733319E1,-5.322137880E-1,-8.231611962E0,1.786562779E1
7.415366708E0,1.829021628E0,1.131689413E0,-1.676447131E1,1.690187975E1
7.425401708E0,-1.719319968E1,-3.072443584E-1,-2.209674723E1,2.799940629E1
7.435435708E0,-3.821765878E1,-4.538922200E0,-2.258809578E1,4.462525438E1
7.445470708E0,-5.621610894E1,-8.856940686E0,-2.167135528E1,6.089617346E1
7.455504708E0,-6.571785308E1,-1.263981966E1,-1.888588324E1,6.953616211E1
7.465539708E0,-6.502542581E1,-1.606191431E1,-1.351653012E1,6.832999107E1
7.475574708E0,-5.987504857E1,-1.873481575E1,-7.699759752E0,6.320839393E1
7.485608708E0,-5.155708025E1,-1.998861783E1,-3.300556769E0,5.539468424E1
7.495643708E0,-3.890081004E1,-2.022111716E1,-1.749904414E0,4.387742889E1
7.505677708E0,-2.343489189E1,-1.765110450E1,-1.678998154E0,2.938664123E1
7.515712708E0,-8.480203997E0,-1.368487614E1,-1.789229279E0,1.619848870E1
7.525746708E0,2.956677631E0,-9.285674325E0,-1.225843619E0,9.821831951E0
7.535781708E0,1.045180442E1,-4.627290878E0,-3.914944768E-1,1.143701467E1
7.545816708E0,1.483771318E1,-1.626114181E0,-6.926085413E-2,1.492671353E1
7.555850708E0,1.696414086E1,-2.695256513E-1,3.871090651E-1,1.697069747E1
7.565885708E0,1.757418320E1,6.178808329E-1,1.573640683E0,1.765531186E1
7.575919708E0,1.748389284E1,6.241479517E-1,2.343428378E0,1.765128114E1
7.585954708E0,1.690337191E1,4.980370317E-1,2.576776137E0,1.710589951E1
7.595989708E0,1.553294010E1,2.584182074E-1,2.061116036E0,1.567122227E1
7.606023708E0,1.326596524E1,-7.728557289E-2,8.269915903E-1,1.329194199E1
7.616058708E0,1.071652542E1,-3.784295312E-1,-4.070755523E-1,1.073092896E1
7.626092708E0,8.671742409E0,-1.203676385E-1,-1.194842851E0,8.754499085E0
7.636127708E0,7.596830045E0,2.096125947E-1,-1.609988730E0,7.768386440E0
7.646161708E0,6.973952474E0,5.716335963E-1,-1.407906618E0,7.137575157E0
7.656196708E0,6.611142098E0,6.837668203E-1,-7.602754444E-1,6.689750045E0
7.666231708E0,6.230231667E0,7.151681956E-1,8.069391489E-2,6.271663549E0
7.676265708E0,5.871123163E0,6.437261838E-1,3.371410990E-1,5.915922136E0
7.686300708E0,5.340112951E0,6.383967391E-1,4.614815551E-1,5.397899773E0
7.696334708E0,4.314470395E0,5.254006854E-1,6.755662465E-1,4.398532758E0
7.706369708E0,3.087709641E0,4.472289670E-1,4.660757124E-1,3.154550863E0
7.716404708E0,2.029632726E0,4.530482621E-1,9.892027080E-2,2.081933465E0
7.726438708E0,1.339882304E0,3.144440351E-1,-1.820524746E-1,1.388273296E0
7.736473708E0,7.775404450E-1,1.227534487E-1,-1.427451521E-1,8.000085819E-1
7.746507708E0,1.093079408E-1,-2.118481314E-1,7.795624852E-2,2.508087586E-1
7.756542708E0,-4.243981845E-1,-4.119337846E-1,2.590632284E-1,6.456911167E-1
7.766576708E0,-6.966121298E-1,-5.592703897E-1,3.659275264E-1,9.653780517E-1
7.776611708E0,-8.515279689E-1,-6.576025768E-1,3.199941391E-1,1.122469278E0
7.786646708E0,-1.105940761E0,-6.013813059E-1,1.351268148E-1,1.266105721E0
7.796680708E0,-1.391184312E0,-4.783596893E-1,-2.354071480E-1,1.489845062E0
7.806715708E0,-1.494206259E0,-2.894767897E-1,-4.411069322E-1,1.584621242E0
7.816749708E0,-1.317936973E0,-1.300913389E-1,-5.580728799E-1,1.437124546E0
7.826784708E0,-7.586461177E-1,-2.197478659E-2,-4.683912098E-1,8.918616197E-1
7.836819708E0,-2.965679274E-1,2.365330294E-2,-2.564658952E-1,3.927935459E-1
7.846853708E0,1.746606256E-2,1.091204461E-1,-6.271372676E-2,1.270643405E-1
7.856888708E0,2.481029881E-1,1.419701768E-1,9.139782786E-3,2.859967822E-1
7.866922708E0,2.722114237E-1,1.125684761E-1,1.279908729E-1,3.211734493E-1
7.876957708E0,2.167293505E-1,3.849339008E-2,2.582820404E-1,3.393566926E-1
7.886991708E0,-6.278100628E-3,-5.818885893E-2,2.862498575E-1,2.921717625E-1
7.897026708E0,-3.344162965E-1,-4.652117863E-2,2.750594562E-1,4.354953316E-1
7.907061708E0,-5.185534497E-1,-7.445625141E-2,2.152997428E-1,5.663880232E-1
7.917095708E0,-4.408915719E-1,-2.065156169E-2,1.344684184E-2,4.415797581E-1
7.927130708E0,-7.701963421E-2,-3.932734922E-2,-1.408945084E-1,1.653176546E-1
7.937164708E0,3.119649618E-1,-2.711507387E-2,-1.102603608E-1,3.319860115E-1
7.947199708E0,5.694128969E-1,3.854104489E-2,-8.902034998E-2,5.776167258E-1
7.957234708E0,6.101989437E-1,-1.284399390E-2,-5.184024453E-2,6.125317379E-1
7.967268708E0,4.329309898E-1,4.788672276E-2,-5.265476167E-2,4.387424120E-1
7.977303708E0,2.372503548E-1,4.947241455E-2,-5.533687949E-2,2.485908705E-1
7.987337708E0,5.767954817E-2,1.496434048E-2,-7.232479513E-2,9.371092654E-2
7.997372708E0,-8.777399769E-2,-1.791389532E-2,-1.664292991E-2,9.111624132E-2
8.007406708E0,-9.732284803E-2,-5.046680667E-2,1.516124547E-2,1.106729357E-1
8.017441708E0,-1.056408047E-1,-5.402089052E-2,-4.598250389E-3,1.187408107E-1
8.027476708E0,-2.822774420E-2,-5.609321684E-2,-6.862175345E-2,9.301720037E-2
8.037510708E0,6.985836647E-2,-1.417115106E-1,-1.677800059E-1,2.304614371E-1
8.047545708E0,4.139222033E-2,-1.964950973E-1,-2.089648694E-1,2.898102065E-1
8.057579708E0,-3.926255476E-2,-2.675769205E-1,-2.823328078E-1,3.909613420E-1
8.067614708E0,3.578324217E-2,-3.973785299E-1,-2.475231636E-1,4.695293952E-1
8.077649708E0,4.860840804E-1,-5.397146693E-1,-1.659942663E-1,7.450662748E-1
8.087683708E0,1.392593053E0,-8.635567148E-1,5.307517648E-3,1.638619474E0
8.097718708E0,3.063582275E0,-1.444215050E0,3.227423304E-1,3.402272194E0
8.107752708E0,6.128124663E0,-2.228581169E0,9.435879940E-1,6.588690630E0
8.117787708E0,1.096011808E1,-3.460049517E0,1.976934841E0,1.166209254E1
8.127821708E0,1.758394338E1,-4.900609910E0,3.339372341E0,1.855700541E1
8.137856708E0,2.480323859E1,-6.056512059E0,5.312316458E0,2.607877852E1
8.147891708E0,3.121784700E1,-6.558434127E0,7.162573126E0,3.269356945E1
8.157925708E0,3.443741281E1,-5.910104211E0,8.076352599E0,3.586212772E1
8.167960708E0,3.465688454E1,-3.768563817E0,7.956981692E0,3.575773031E1
8.177994708E0,3.160338667E1,-2.010335014E0,6.420038719E0,3.231149011E1
8.188029708E0,2.452118060E1,-3.244128069E-1,1.698252450E0,2.458205856E1
8.198064708E0,1.489663674E1,2.476104333E0,-5.228456860E0,1.598053941E1
8.208098708E0,1.579340111E0,3.920553125E0,-1.320367953E1,1.386370099E1
8.218133708E0,-1.632900928E1,2.813167371E0,-2.053319709E1,2.638489411E1
8.228167708E0,-3.387026564E1,6.042798072E-1,-2.323250105E1,4.107686884E1
8.238202708E0,-4.702379944E1,-3.474516990E0,-2.260313716E1,5.228969107E1
8.248237708E0,-5.309286781E1,-9.475021201E0,-1.748771926E1,5.669611066E1
8.258271708E0,-5.352707737E1,-1.495688645E1,-1.072156221E1,5.660219395E1
8.268306708E0,-5.134644015E1,-1.836246155E1,-5.256810594E0,5.478385682E1
8.278340708E0,-4.602834606E1,-1.989969571E1,-1.786655919E0,5.017767103E1
8.288375708E0,-3.684298072E1,-1.969909646E1,-4.456455410E-2,4.177872204E1
8.298410708E0,-2.494700525E1,-1.780946698E1,1.021596867E0,3.066877639E1
8.308444708E0,-1.321349817E1,-1.473200604E1,1.792577979E0,1.987062837E1
8.318479708E0,-3.171333596E0,-1.086364721E1,2.022439628E0,1.149636680E1
8.328513708E0,4.620647856E0,-6.611831485E0,1.550039567E0,8.213971321E0
8.338548708E0,1.042821909E1,-3.088456915E0,7.039468771E-1,1.089870913E1
8.348583167E0,1.402866318E1,-5.420026117E-1,8.885370433E-2,1.403941069E1
8.358618167E0,1.592196471E1,8.246199596E-1,-1.561650968E-1,1.594406930E1
8.368653167E0,1.724455578E1,1.363535168E0,-3.624911177E-1,1.730217709E1
8.378687167E0,1.779107514E1,1.696764188E0,-4.265613985E-1,1.787689341E1
8.388722167E0,1.736785251E1,1.686971563E0,-1.721642482E-1,1.745043880E1
8.398756167E0,1.618785866E1,1.304142660E0,-8.158152223E-2,1.624051143E1
8.408791167E0,1.423647089E1,1.126771247E0,-1.310314250E-1,1.428159256E1
8.418826167E0,1.214374188E1,8.791717773E-1,2.272812724E-3,1.217552525E1
8.428860167E0,1.043783893E1,8.949840371E-1,-1.130793035E-1,1.047674878E1
8.438895167E0,9.040105301E0,1.168357010E0,-4.710604638E-1,9.127456377E0
8.448929167E0,7.677492385E0,1.524115936E0,-8.696686631E-1,7.875477274E0
8.458964167E0,6.175929160E0,1.660227130E0,-1.000211261E0,6.472934240E0
8.468999167E0,4.609260404E0,1.468313326E0,-6.658253700E-1,4.883088051E0
8.479033167E0,3.501435524E0,7.906279754E-1,-8.776436806E-2,3.590660929E0
8.489068167E0,2.858541765E0,8.647878461E-2,4.837986231E-1,2.900482840E0
8.499102167E0,2.344518591E0,-2.650462456E-1,8.691283804E-1,2.514438522E0
8.509137167E0,1.893054925E0,-4.097322348E-1,7.416163945E-1,2.074013580E0
8.519171167E0,1.284530660E0,-4.874362490E-1,5.633920920E-1,1.484932242E0
8.529206167E0,4.506087307E-1,-5.654716542E-1,6.977622771E-1,1.004827655E0
8.539241167E0,-4.646054301E-1,-6.586349758E-1,6.701721901E-1,1.048231368E0
8.549275167E0,-1.288857746E0,-6.368997788E-1,3.208875936E-1,1.473012038E0
8.559310167E0,-1.770123794E0,-5.869666037E-1,-8.224635065E-2,1.866717038E0
8.569344167E0,-1.817861632E0,-5.673312881E-1,-4.179449415E-1,1.949657323E0
8.579379167E0,-1.633568504E0,-3.940546071E-1,-4.273431712E-1,1.733910977E0
8.589414167E0,-1.352143769E0,-2.307436281E-1,-2.861054313E-1,1.401210802E0
8.599448167E0,-1.059570879E0,-8.768988915E-2,-3.503283244E-1,1.119423914E0
8.609483167E0,-8.317001338E-1,-7.683467947E-2,-3.007644010E-1,8.877431528E-1
8.619517167E0,-8.001594485E-1,-1.576296050E-1,-6.369605899E-2,8.180216521E-1
8.629552167E0,-8.397132312E-1,-3.253856374E-1,2.736988091E-1,9.412253512E-1
8.639587167E0,-7.616936865E-1,-4.676774110E-1,5.837485886E-1,1.067549459E0
8.649621167E0,-5.544634668E-1,-4.353470593E-1,7.205792820E-1,1.008063143E0
8.659656167E0,-1.663354148E-1,-2.762990659E-1,6.020398486E-1,6.829792261E-1
8.669690167E0,2.199400932E-1,-1.876568116E-1,4.817836726E-1,5.618756363E-1
8.679725167E0,3.630208024E-1,-1.672386269E-1,5.365101027E-1,6.690261218E-1
8.689759167E0,2.399557701E-1,-1.489543104E-1,5.360546046E-1,6.059048584E-1
8.699794167E0,5.841271592E-2,-1.457781029E-1,4.449818820E-1,4.718815274E-1
8.709829167E0,-7.869310733E-2,-6.454339363E-2,2.607191598E-1,2.798802156E-1
8.719863167E0,-1.567523948E-1,5.535047427E-3,-2.387301207E-2,1.586564550E-1
8.729898167E0,-1.633196402E-1,9.628836595E-2,-1.871781439E-1,2.664214928E-1
8.739932167E0,-8.703644453E-2,1.956664737E-1,-3.791586059E-1,4.354560369E-1
8.749967167E0,1.348817069E-1,3.037083279E-1,-5.741316730E-1,6.633694304E-1
8.760002167E0,3.304026946E-1,4.334888873E-1,-8.165408617E-1,9.817420918E-1
8.770036167E0,3.668640310E-1,4.410640282E-1,-8.583502078E-1,1.032420347E0
8.780071167E0,2.345842072E-1,3.503020851E-1,-7.781047744E-1,8.849792884E-1
8.790105167E0,1.427001286E-1,1.775063375E-1,-6.256661081E-1,6.658302377E-1
8.800140167E0,1.471825310E-1,4.001490869E-2,-4.222724658E-1,4.489743041E-1
8.810175167E0,2.729988974E-1,-1.295467439E-1,-2.251166332E-1,3.768132898E-1
8.820209167E0,6.223019126E-1,-3.349964134E-1,-9.984120727E-3,7.068111134E-1
8.830244167E0,1.322032070E0,-7.160814576E-1,2.252464414E-1,1.520288594E0
8.840278167E0,2.600618743E0,-1.362330350E0,5.540523344E-1,2.987663940E0
8.850313167E0,4.848921401E0,-2.043272088E0,1.135683061E0,5.383008043E0
8.860348167E0,8.664459118E0,-2.930749323E0,2.043112459E0,9.372110323E0
8.870382167E0,1.462510491E1,-4.190631630E0,3.984680416E0,1.572681675E1
8.880417167E0,2.167207332E1,-5.818420454E0,6.013866561E0,2.323143064E1
8.890451167E0,2.733431113E1,-6.909460609E0,7.190095970E0,2.909643777E1
8.900486167E0,3.081970307E1,-7.133509541E0,8.165558306E0,3.267135439E1
8.910520167E0,3.197400425E1,-5.695873339E0,8.318398091E0,3.352574634E1
8.920555167E0,3.049506565E1,-3.130855661E0,7.988753707E0,3.167919620E1
8.930590167E0,2.629030481E1,-1.702433648E0,5.743366179E0,2.696413660E1
8.940624167E0,1.936218223E1,-8.210207791E-1,1.010653803E0,1.940591654E1
8.950659167E0,1.053626511E1,3.833982758E-1,-4.533735720E0,1.147669972E1
8.960693167E0,-1.151668472E0,1.247152627E0,-1.074657660E1,1.087982714E1
8.970728167E0,-1.523947887E1,3.652624056E-1,-1.587766855E1,2.201080397E1
8.980763167E0,-2.957537348E1,-3.283365078E0,-1.846255769E1,3.501926954E1
8.990797167E0,-4.276899579E1,-7.994360602E0,-1.948859903E1,4.767496507E1
9.000832167E0,-5.197893113E1,-1.123169786E1,-1.778569804E1,5.607398125E1
9.010866167E0,-5.391280181E1,-1.314589617E1,-1.446703011E1,5.734718603E1
9.020901167E0,-5.113805007E1,-1.486264220E1,-1.154225167E1,5.449056681E1
9.030936167E0,-4.748290411E1,-1.577419739E1,-8.979648015E0,5.083390172E1
9.040970167E0,-4.226270176E1,-1.587221894E1,-6.324109299E0,4.558571764E1
9.051005167E0,-3.334838527E1,-1.455649134E1,-4.653124754E0,3.668320883E1
9.061039167E0,-2.233565511E1,-1.233224559E1,-3.984423723E0,2.582327250E1
9.071074167E0,-1.137487629E1,-1.005788218E1,-2.450531827E0,1.538030919E1
9.081109167E0,-1.022421471E0,-7.359040741E0,2.111417878E-1,7.432725419E0
9.091143167E0,8.024536328E0,-4.778364512E0,1.999572337E0,9.551138164E0
9.101178167E0,1.480180659E1,-2.363251462E0,2.177860959E0,1.514666677E1
9.111212167E0,1.928053054E1,-1.194572563E0,1.581736738E0,1.938215036E1
9.121247167E0,2.120881245E1,-8.314876606E-1,8.314541852E-1,2.124138445E1
9.131282167E0,2.123549447E1,-1.166270212E0,1.002622068E-2,2.126749896E1
9.141316167E0,2.059138156E1,-1.432645310E0,-9.007109463E-2,2.064135606E1
9.151351167E0,1.889938447E1,-1.637302682E0,6.969436669E-1,1.898297194E1
9.161385167E0,1.654749867E1,-1.767595750E0,2.081876575E0,1.677135407E1
9.171420167E0,1.459926840E1,-1.826258233E0,3.050692965E0,1.502599696E1
9.181455167E0,1.313168978E1,-1.397526056E0,2.693727466E0,1.347777886E1
9.191489167E0,1.187159960E1,-6.820842109E-1,1.143493187E0,1.194603251E1
9.201524167E0,1.077970341E1,3.025575227E-1,-5.419743258E-1,1.079755912E1
9.211558167E0,9.532605166E0,1.313246336E0,-1.516680617E0,9.741431993E0
9.221593167E0,7.845579954E0,1.971622061E0,-1.497034557E0,8.226878560E0
9.231628167E0,5.749805133E0,2.289523189E0,-7.101110119E-1,6.229480969E0
9.241662167E0,3.263096875E0,1.800293672E0,8.486473382E-2,3.727742017E0
9.251697167E0,9.905343383E-1,1.105181426E0,8.007299906E-1,1.686343019E0
9.261731167E0,-6.087605286E-1,4.748583034E-1,9.208318001E-1,1.201670085E0
9.271766167E0,-1.724011189E0,-1.642013638E-1,5.839713675E-1,1.827621193E0
9.281800167E0,-2.375714803E0,-8.122782415E-1,1.275020456E-1,2.513975644E0
9.291835167E0,-2.535243364E0,-1.191849369E0,7.817902744E-2,2.802512407E0
9.301870167E0,-2.225861190E0,-1.350543678E0,2.902487683E-1,2.619669944E0
9.311904167E0,-1.740949550E0,-1.273729683E0,3.892877376E-1,2.191993974E0
9.321939167E0,-1.335265342E0,-1.076833613E0,2.637415856E-1,1.735529830E0
9.331974167E0,-1.087535991E0,-1.010288572E0,1.802696586E-1,1.495297522E0
9.342012167E0,-1.038693468E0,-8.114791464E-1,1.489233202E-1,1.326484331E0
9.352047167E0,-1.091787721E0,-6.436746553E-1,4.528376162E-2,1.268214536E0
9.362081167E0,-1.113837352E0,-5.182698597E-1,2.902967155E-2,1.228853131E0
9.372116167E0,-1.083622304E0,-2.996792308E-1,4.630760908E-2,1.125250787E0
9.382150167E0,-8.713707876E-1,-3.457517087E-2,-6.033390999E-2,8.741411057E-1
9.392185167E0,-5.222226506E-1,1.506616974E-1,-1.678507572E-1,5.688491193E-1
9.402220167E0,-3.746109705E-1,2.001376203E-1,-2.437645733E-1,4.897035976E-1
9.412254167E0,-3.221846522E-1,2.182314637E-1,-2.552017272E-1,4.653556096E-1
9.422289167E0,-2.793205781E-1,2.010060049E-1,-3.883849275E-1,5.189087119E-1
9.432323167E0,-2.743679864E-1,1.477103153E-1,-5.328146625E-1,6.172419248E-1
9.442358167E0,-2.580025983E-1,1.394704921E-1,-6.159094441E-1,6.821743195E-1
9.452393167E0,-2.874213472E-2,1.542997619E-1,-4.574382055E-1,4.836157965E-1
9.462427167E0,2.306410643E-1,1.435688055E-1,-2.710231233E-1,3.837457958E-1
9.472462167E0,4.719736527E-1,1.806614220E-1,-1.351028413E-1,5.231161018E-1
9.482496167E0,5.883603606E-1,1.575304947E-1,-1.130559146E-1,6.194880229E-1
9.492531167E0,5.757512055E-1,1.784788026E-1,-1.227207774E-1,6.151459362E-1
9.502566167E0,5.457682917E-1,1.715741180E-1,-1.347280347E-1,5.877519455E-1
9.512600167E0,3.484281255E-1,8.902276196E-2,-8.730886996E-2,3.700676284E-1
9.522635167E0,1.562678616E-1,-1.764375396E-2,9.061137736E-2,1.814975711E-1
9.532669167E0,-5.636512150E-2,-6.516341776E-2,2.801693380E-1,2.931179897E-1
9.542704167E0,-1.762554171E-1,-5.762233682E-2,3.439010650E-1,3.907099285E-1
9.552739167E0,-2.004733966E-1,-1.043301147E-1,2.961339909E-1,3.725180481E-1
9.562773167E0,-2.727247909E-1,-9.505664997E-2,1.759889120E-1,3.382109925E-1
9.572808167E0,-3.381460892E-1,-1.625443359E-1,1.348759693E-1,3.986915673E-1
9.582842167E0,-2.895726475E-1,-2.191891645E-1,1.827974099E-1,4.065846788E-1
9.592877167E0,-1.853924590E-1,-2.983899929E-1,2.325841123E-1,4.213102432E-1
9.602912167E0,4.955129715E-2,-3.715678237E-1,1.453565186E-1,4.020528524E-1
9.612946167E0,4.357766835E-1,-6.138444268E-1,-1.015836775E-2,7.528675120E-1
9.622981167E0,1.308443872E0,-1.054349315E0,-5.014104366E-2,1.681128183E0
9.633015167E0,2.777849312E0,-1.656441496E0,3.466697216E-2,3.234416026E0
9.643050167E0,5.114158997E0,-2.342301620E0,3.739060521E-1,5.637446661E0
9.653085167E0,9.480762582E0,-3.465718392E0,1.422214755E0,1.019405503E1
9.663119167E0,1.619534193E1,-5.923524156E0,2.618933392E0,1.744236368E1
9.673154167E0,2.319978003E1,-8.261302954E0,3.005439609E0,2.480950598E1
9.683188167E0,2.927665092E1,-8.457584043E0,2.259289868E0,3.055744439E1
9.693223167E0,3.451675953E1,-7.157478447E0,1.702363628E0,3.529212700E1
9.703258167E0,3.708334572E1,-5.012959481E0,2.070045319E0,3.747785186E1
9.713292167E0,3.637439655E1,-1.482975073E0,3.346771408E0,3.655812931E1
9.723327167E0,3.239974937E1,2.115847290E0,2.506669775E0,3.256537982E1
9.733361167E0,2.459962918E1,4.626090737E0,-2.123618093E0,2.512075288E1
9.743396167E0,1.008319010E1,4.941705312E0,-9.028420225E0,1.440845397E1
9.753431167E0,-9.940318065E0,-1.338423277E0,-1.629126433E1,1.913129879E1
9.763465167E0,-2.928693968E1,-1.249337965E1,-1.376954967E1,3.469019846E1
9.773500167E0,-5.087700697E1,-1.890530302E1,-1.000445266E1,5.519030162E1
9.783534167E0,-6.937186234E1,-1.824425424E1,-1.464307691E1,7.321016186E1
